"id","idclasses","name"
"422","8738","DATA_CLASS"
"423","8744","DATA_CLASS"
"424","8785","DATA_CLASS"
"425","8804","DATA_CLASS"
"426","8805","DATA_CLASS"
"427","8808","DATA_CLASS"
"428","8814","BRAIN_CLASS"
"429","8839","DATA_CLASS"
"430","8860","DATA_CLASS"
"431","8880","DATA_CLASS"
"432","8889","DATA_CLASS"
"433","8896","DATA_CLASS"
"434","8900","DATA_CLASS"
"435","8922","DATA_CLASS"
"436","8925","DATA_CLASS"
"437","8945","GOD_CLASS"
"438","8948","DATA_CLASS"
"439","8956","DATA_CLASS"
"440","8959","DATA_CLASS"
"441","8963","DATA_CLASS"
"442","8971","DATA_CLASS"
"443","8973","DATA_CLASS"
"444","8990","DATA_CLASS"
"445","9021","GOD_CLASS"
"446","9049","DATA_CLASS"
"447","9051","GOD_CLASS"
"448","9061","BRAIN_CLASS"
"449","9106","GOD_CLASS"
"450","9189","GOD_CLASS"
"451","9281","DATA_CLASS"
"452","9283","BRAIN_CLASS"
"453","9342","DATA_CLASS"
"454","9434","DATA_CLASS"
"455","9474","DATA_CLASS"
"456","9553","GOD_CLASS"
"457","9613","DATA_CLASS"
"458","9632","DATA_CLASS"
"459","9635","GOD_CLASS"
"460","9675","GOD_CLASS"
"461","9727","GOD_CLASS"
"462","9807","GOD_CLASS"
"463","9860","BRAIN_CLASS"
"464","9901","GOD_CLASS"
"465","9976","GOD_CLASS"
"466","9978","GOD_CLASS"
"467","9984","GOD_CLASS"
"468","10015","GOD_CLASS"
"469","10039","BRAIN_CLASS"
"470","10105","GOD_CLASS"
"471","10161","GOD_CLASS"
"472","10166","DATA_CLASS"
"473","10232","GOD_CLASS"
"474","10261","DATA_CLASS"
"475","10267","GOD_CLASS"
"476","10285","GOD_CLASS"
"477","10288","GOD_CLASS"
"478","10309","GOD_CLASS"
"479","10475","GOD_CLASS"
"480","10478","BRAIN_CLASS"
"481","10531","GOD_CLASS"
"482","10548","BRAIN_CLASS"
"483","10805","DATA_CLASS"
"484","10827","BRAIN_CLASS"
"485","10839","GOD_CLASS"
"486","11063","BRAIN_CLASS"
"487","11078","DATA_CLASS"
"488","11156","BRAIN_CLASS"
"489","11156","GOD_CLASS"
"490","11196","BRAIN_CLASS"
